"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 25 12:16:58 PKT 2023","Wed Oct 25 12:16:58 PKT 2023","3","Surefire suite","Surefire test","LoginTest","LoginTest","homePageTitleTest","homePageTitleTest",""
"passed","Wed Oct 25 12:16:57 PKT 2023","Wed Oct 25 12:16:58 PKT 2023","144","Surefire suite","Surefire test","LoginTest","LoginTest","LoginTest","LoginTest",""
"passed","Wed Oct 25 12:16:58 PKT 2023","Wed Oct 25 12:16:58 PKT 2023","1","Surefire suite","Surefire test","LoginTest","LoginTest","homePageURLTest","homePageURLTest",""
